line_no,terminal_no,day,day_of_the_week,second_month,second_day,next_station_no,time_used_to_next_station,reserved_field_1 ,reserved_field_2 ,reserved_field_3 ,reserved_field_4 ,reserved_field_5 ,reserved_field_6 ,reserved_field_7 ,reserved_field_8 ,reserved_field_9 
5,912300,30,1,2548396.0,42796.0,2,132.0,0,none,none,none,none,none,none,none,none
5,912300,30,1,2548528.0,42928.0,3,40.0,132.0,none,none,none,none,none,none,none,none
5,912300,30,1,2548568.0,42968.0,4,200.0,40.0,none,none,none,none,none,none,none,none
5,912300,30,1,2548768.0,43168.0,5,0,200.0,none,none,none,none,none,none,none,none
5,912300,30,1,2554001.0,48401.0,2,140.0,0,none,none,none,none,none,none,none,none
5,912300,30,1,2554141.0,48541.0,3,100.0,140.0,none,none,none,none,none,none,none,none
5,912300,30,1,2554241.0,48641.0,4,151.0,100.0,none,none,none,none,none,none,none,none
5,912300,30,1,2554392.0,48792.0,5,0,151.0,none,none,none,none,none,none,none,none
5,912300,30,1,2554732.0,49132.0,7,140.0,0,none,none,none,none,none,none,none,none
5,912300,30,1,2554872.0,49272.0,8,80.0,140.0,none,none,none,none,none,none,none,none
5,912300,30,1,2554952.0,49352.0,9,240.0,80.0,none,none,none,none,none,none,none,none
5,912300,30,1,2555192.0,49592.0,10,90.0,240.0,none,none,none,none,none,none,none,none
5,912300,30,1,2555282.0,49682.0,11,180.0,90.0,none,none,none,none,none,none,none,none
5,912300,30,1,2555462.0,49862.0,12,250.0,180.0,none,none,none,none,none,none,none,none
5,912300,30,1,2555712.0,50112.0,13,90.0,250.0,none,none,none,none,none,none,none,none
5,912300,30,1,2555802.0,50202.0,14,0,90.0,none,none,none,none,none,none,none,none
5,912300,30,1,2559808.0,54208.0,2,100.0,0,none,none,none,none,none,none,none,none
5,912300,30,1,2559908.0,54308.0,3,90.0,100.0,none,none,none,none,none,none,none,none
5,912300,30,1,2559998.0,54398.0,4,140.0,90.0,none,none,none,none,none,none,none,none
5,912300,30,1,2560138.0,54538.0,5,100.0,140.0,none,none,none,none,none,none,none,none
5,912300,30,1,2560238.0,54638.0,6,190.0,100.0,none,none,none,none,none,none,none,none
5,912300,30,1,2560428.0,54828.0,7,170.0,190.0,none,none,none,none,none,none,none,none
5,912300,30,1,2560598.0,54998.0,8,110.0,170.0,none,none,none,none,none,none,none,none
5,912300,30,1,2560708.0,55108.0,9,161.0,110.0,none,none,none,none,none,none,none,none
5,912300,30,1,2560869.0,55269.0,10,110.0,161.0,none,none,none,none,none,none,none,none
5,912300,30,1,2560979.0,55379.0,11,260.0,110.0,none,none,none,none,none,none,none,none
5,912300,30,1,2561239.0,55639.0,12,210.0,260.0,none,none,none,none,none,none,none,none
