line_no,terminal_no,day,day_of_the_week,second_month,second_day,next_station_no,time_used_to_next_station,reserved_field_1 ,reserved_field_2 ,reserved_field_3 ,reserved_field_4 ,reserved_field_5 ,reserved_field_6 ,reserved_field_7 ,reserved_field_8 ,reserved_field_9 
5,912300,30,1,2540989.0,35389.0,3,0,0,none,none,none,none,none,none,none,none
5,912300,30,1,2541350.0,35750.0,2,5233.0,0,none,none,none,none,none,none,none,none
5,912300,30,1,2546583.0,40983.0,3,70.0,5233.0,none,none,none,none,none,none,none,none
5,912300,30,1,2546653.0,41053.0,4,301.0,70.0,none,none,none,none,none,none,none,none
5,912300,30,1,2546954.0,41354.0,5,311.0,301.0,none,none,none,none,none,none,none,none
5,912300,30,1,2547265.0,41665.0,6,100.0,311.0,none,none,none,none,none,none,none,none
5,912300,30,1,2547365.0,41765.0,7,80.0,100.0,none,none,none,none,none,none,none,none
5,912300,30,1,2547445.0,41845.0,8,170.0,80.0,none,none,none,none,none,none,none,none
5,912300,30,1,2547615.0,42015.0,9,90.0,170.0,none,none,none,none,none,none,none,none
5,912300,30,1,2547705.0,42105.0,10,300.0,90.0,none,none,none,none,none,none,none,none
5,912300,30,1,2548005.0,42405.0,11,0,300.0,none,none,none,none,none,none,none,none
5,912300,30,1,2552400.0,46800.0,3,20.0,0,none,none,none,none,none,none,none,none
5,912300,30,1,2552420.0,46820.0,4,380.0,20.0,none,none,none,none,none,none,none,none
5,912300,30,1,2552800.0,47200.0,5,201.0,380.0,none,none,none,none,none,none,none,none
5,912300,30,1,2553001.0,47401.0,6,80.0,201.0,none,none,none,none,none,none,none,none
5,912300,30,1,2553081.0,47481.0,7,50.0,80.0,none,none,none,none,none,none,none,none
5,912300,30,1,2553131.0,47531.0,8,190.0,50.0,none,none,none,none,none,none,none,none
5,912300,30,1,2553321.0,47721.0,9,70.0,190.0,none,none,none,none,none,none,none,none
5,912300,30,1,2553391.0,47791.0,10,250.0,70.0,none,none,none,none,none,none,none,none
5,912300,30,1,2553641.0,48041.0,11,0,250.0,none,none,none,none,none,none,none,none
5,912300,30,1,2568965.0,63365.0,2,170.0,0,none,none,none,none,none,none,none,none
5,912300,30,1,2569135.0,63535.0,3,70.0,170.0,none,none,none,none,none,none,none,none
5,912300,30,1,2569205.0,63605.0,4,330.0,70.0,none,none,none,none,none,none,none,none
5,912300,30,1,2569535.0,63935.0,5,260.0,330.0,none,none,none,none,none,none,none,none
5,912300,30,1,2569795.0,64195.0,6,120.0,260.0,none,none,none,none,none,none,none,none
5,912300,30,1,2569915.0,64315.0,7,100.0,120.0,none,none,none,none,none,none,none,none
5,912300,30,1,2570015.0,64415.0,8,160.0,100.0,none,none,none,none,none,none,none,none
5,912300,30,1,2570175.0,64575.0,9,120.0,160.0,none,none,none,none,none,none,none,none
5,912300,30,1,2570295.0,64695.0,10,0,120.0,none,none,none,none,none,none,none,none
5,912300,30,1,2574641.0,69041.0,2,110.0,0,none,none,none,none,none,none,none,none
5,912300,30,1,2574751.0,69151.0,3,60.0,110.0,none,none,none,none,none,none,none,none
5,912300,30,1,2574811.0,69211.0,4,350.0,60.0,none,none,none,none,none,none,none,none
5,912300,30,1,2575161.0,69561.0,5,100.0,350.0,none,none,none,none,none,none,none,none
5,912300,30,1,2575261.0,69661.0,6,100.0,100.0,none,none,none,none,none,none,none,none
5,912300,30,1,2575361.0,69761.0,7,50.0,100.0,none,none,none,none,none,none,none,none
5,912300,30,1,2575411.0,69811.0,8,180.0,50.0,none,none,none,none,none,none,none,none
5,912300,30,1,2575591.0,69991.0,9,80.0,180.0,none,none,none,none,none,none,none,none
5,912300,30,1,2575671.0,70071.0,10,260.0,80.0,none,none,none,none,none,none,none,none
5,912300,30,1,2575931.0,70331.0,11,0,260.0,none,none,none,none,none,none,none,none
5,912300,30,1,2582460.0,76860.0,2,110.0,0,none,none,none,none,none,none,none,none
5,912300,30,1,2582570.0,76970.0,3,60.0,110.0,none,none,none,none,none,none,none,none
5,912300,30,1,2582630.0,77030.0,4,230.0,60.0,none,none,none,none,none,none,none,none
5,912300,30,1,2582860.0,77260.0,5,191.0,230.0,none,none,none,none,none,none,none,none
5,912300,30,1,2583051.0,77451.0,6,70.0,191.0,none,none,none,none,none,none,none,none
5,912300,30,1,2583121.0,77521.0,7,80.0,70.0,none,none,none,none,none,none,none,none
5,912300,30,1,2583201.0,77601.0,8,150.0,80.0,none,none,none,none,none,none,none,none
5,912300,30,1,2583351.0,77751.0,9,70.0,150.0,none,none,none,none,none,none,none,none
5,912300,30,1,2583421.0,77821.0,10,341.0,70.0,none,none,none,none,none,none,none,none
5,912300,30,1,2583762.0,78162.0,11,0,341.0,none,none,none,none,none,none,none,none
5,912300,31,2,2627783.0,35783.0,2,100.0,0,none,none,none,none,none,none,none,none
5,912300,31,2,2627883.0,35883.0,3,80.0,100.0,none,none,none,none,none,none,none,none
5,912300,31,2,2627963.0,35963.0,4,0,80.0,none,none,none,none,none,none,none,none
5,912300,31,2,2634239.0,42239.0,2,70.0,0,none,none,none,none,none,none,none,none
5,912300,31,2,2634309.0,42309.0,3,60.0,70.0,none,none,none,none,none,none,none,none
5,912300,31,2,2634369.0,42369.0,4,400.0,60.0,none,none,none,none,none,none,none,none
5,912300,31,2,2634769.0,42769.0,5,110.0,400.0,none,none,none,none,none,none,none,none
5,912300,31,2,2634879.0,42879.0,6,100.0,110.0,none,none,none,none,none,none,none,none
5,912300,31,2,2634979.0,42979.0,7,90.0,100.0,none,none,none,none,none,none,none,none
5,912300,31,2,2635069.0,43069.0,8,90.0,90.0,none,none,none,none,none,none,none,none
5,912300,31,2,2635159.0,43159.0,9,0,90.0,none,none,none,none,none,none,none,none
5,912300,31,2,2640355.0,48355.0,2,150.0,0,none,none,none,none,none,none,none,none
5,912300,31,2,2640505.0,48505.0,3,80.0,150.0,none,none,none,none,none,none,none,none
5,912300,31,2,2640585.0,48585.0,4,280.0,80.0,none,none,none,none,none,none,none,none
5,912300,31,2,2640865.0,48865.0,5,200.0,280.0,none,none,none,none,none,none,none,none
5,912300,31,2,2641065.0,49065.0,6,110.0,200.0,none,none,none,none,none,none,none,none
5,912300,31,2,2641175.0,49175.0,7,50.0,110.0,none,none,none,none,none,none,none,none
5,912300,31,2,2641225.0,49225.0,8,130.0,50.0,none,none,none,none,none,none,none,none
5,912300,31,2,2641355.0,49355.0,9,80.0,130.0,none,none,none,none,none,none,none,none
5,912300,31,2,2641435.0,49435.0,10,260.0,80.0,none,none,none,none,none,none,none,none
5,912300,31,2,2641695.0,49695.0,11,0,260.0,none,none,none,none,none,none,none,none
5,912300,31,2,2646009.0,54009.0,3,9.0,0,none,none,none,none,none,none,none,none
5,912300,31,2,2646018.0,54018.0,4,300.0,9.0,none,none,none,none,none,none,none,none
5,912300,31,2,2646318.0,54318.0,5,210.0,300.0,none,none,none,none,none,none,none,none
5,912300,31,2,2646528.0,54528.0,6,100.0,210.0,none,none,none,none,none,none,none,none
